"EMPRESA,STAND",Status,Nome 1,Linkedin 1,Nome 2,Linkedin 2
"O-LINKE,J-40f",Não,,,,
"SANTÉ,F-90",Provável,Pierr Maxime,https://www.linkedin.com/in/pierrecolnet/,,
"INOVAMED,H-40",Sim,Jhonatan Boni,https://www.linkedin.com/in/jhonatan-boni-848581148/,,
"Formosa,A-155",Intern,,,,
"SUPERA,D-150",Não,,,,
"Imediato,H-69",Não,,,,
"PORTAL HOSPITALAR,H-20",Não,,,,
"1A+A+A,G-170h",Intern,,,,
"Linear,A-30",Não,,,,
"MEDICAR SOLUÇÕES EM SAÚDE,K-40",Sim,Cristiano Alessandro,https://www.linkedin.com/in/cristiano-alessandro-leite-de-freitas-42135b3b/,,
"FIAT,K-18",,,,,
"LANCO,F-45",Sim,Marcos Eli,https://www.linkedin.com/in/marcos-eli-alves-12503423b/,,
"CELER,D-128",Sim,Denilson Laudares,https://www.linkedin.com/in/denilson-laudares-rodrigues-07ba02b/,,
"Transform,B-83",,,,,
"OPTIKA,E-181",Provável,Agnaldo Manotoan,Sem linkedin,,
"Maera,F-91",Não,Bruna Manetta,https://www.linkedin.com/in/bruna-manetta/,,
"CEPALAB,C-131",Sim,Jorge Rezende,https://www.linkedin.com/in/jorge-rezende-594869b2/,Gabriel Coxir,https://www.linkedin.com/in/gabrielcoxir/
"MEDI SAÚDE PRODUTOS MÉDICOS HOSPITALARES,C-31",Sim,Fernando,https://www.linkedin.com/in/fernando-almeida-9a881a122/,Joao,https://www.linkedin.com/in/jo%25C3%25A3o-bosco-dias-ferreira-filho-063260217?skipRedirect=true&miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAADatLksB1_vrv9xXK8K8e8die6JRNYwlPPo
"TETO,F-70",Não,Rodrigo Motta,https://www.linkedin.com/in/rodrigo-g-motta-8156545/,,
"FRESENIUS KABI BRASIL LTDA,G-28",Sim,Paulo,https://www.linkedin.com/in/pauloberti/,Jorge,https://www.linkedin.com/in/jorge-stuart-ba160b27/
"CIRÚRGICA FERNANDES,C-160",Sim,Rodrigo Ribeiro,https://www.linkedin.com/in/rodrigo-fonseca-ribeiro/,,
"ALTERNATIVA,K-30 | L-26 | L-38",Sim,Eduardo,https://www.linkedin.com/in/eduardo-louren%C3%A7o-6042b36a/,,
"VIDA HOSPITALAR,E-195",Sim,,,,
"IDEAR,G-220h",Não,Miguel,https://www.linkedin.com/in/miguel-angel-picardi-35396636/,,
"SEFAM,G-202a",Não,,,,
"CLOUDIA,A-106",Não,,,,
"B BRAUN,D-31",Sim,Michael Dickscheid,https://www.linkedin.com/in/michaeldickscheid/,Izabella,https://www.linkedin.com/in/izabellabastosfernandes/
"BIOBASE,M-07",Sim,,,,
"Elis,F-111",Não,,,,
"SENAC,F-168",Não,,,,
"SOL-M,C-129",Não,,,,
